variant_id,is_identity,state_machine,timing,e_low,transaction_cost_bps,total_return,compound_annual_return,annual_vol,contract_sharpe,max_drawdown,calmar_ratio,benchmark_total_return,excess_return_vs_000852,information_ratio,max_drawdown_peak_date,max_drawdown_trough_date,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,average_exposure,exposure_lt_1_day_ratio,exposure_switch_count,cumulative_cost_drag_pp,return_period_count,nav_row_count
hysteresis_biweekly_elow0.3_cost40bps,False,hysteresis,biweekly,0.3,40.0,0.2783166402153079,0.04825461732780756,0.17152468505313012,0.28132753785765935,-0.304854816459202,0.15828720663911625,0.25162190457765377,0.02669473563765412,-0.05279042185253181,2023-06-16,2024-02-07,-0.2116382800835478,-0.1850421485653686,-0.02659613151817919,0.6931506849315068,0.4383561643835616,16,4.4799999999999995,1313,1314
hysteresis_biweekly_elow0.5_cost40bps,False,hysteresis,biweekly,0.5,40.0,0.42054310917424975,0.06969533421670504,0.18269194908704517,0.3814909992749494,-0.35059014038788483,0.1987943361430408,0.25162190457765377,0.168921204596596,0.06512973578445037,2023-06-16,2024-02-07,-0.2627354591683756,-0.1850421485653686,-0.077693310603007,0.7808219178082192,0.4383561643835616,16,3.2,1313,1314
hysteresis_biweekly_elow0.7_cost40bps,False,hysteresis,biweekly,0.7,40.0,0.5704734986854716,0.09049466382143923,0.19823346053189767,0.45650549396971135,-0.39397694082019463,0.2296953309831899,0.25162190457765377,0.3188515941078178,0.1886473968983623,2023-06-16,2024-02-07,-0.3109931186377153,-0.1850421485653686,-0.12595097007234668,0.8684931506849314,0.4383561643835616,16,1.9200000000000002,1313,1314
hysteresis_daily_elow0_cost40bps,False,hysteresis,daily,0.0,40.0,0.16102275906898056,0.029069436835055917,0.17784581761736684,0.16345302478576396,-0.3475098869110468,0.08365067564968853,0.25162190457765377,-0.0905991455086732,-0.1273239314528149,2021-08-25,2024-06-07,0.0,-0.1850421485653686,0.1850421485653686,0.669710806697108,0.3302891933028919,33,13.200000000000001,1313,1314
hysteresis_daily_elow0.3_cost40bps,False,hysteresis,daily,0.3,40.0,0.3411596865568005,0.05795436186780445,0.18262866526165214,0.31733442165156944,-0.3436237337866689,0.16865645812400176,0.25162190457765377,0.08953778197914675,0.005124949841146139,2021-08-25,2024-08-27,-0.13102769159834293,-0.1850421485653686,0.05401445696702567,0.7687975646879756,0.3302891933028919,33,9.24,1313,1314
hysteresis_daily_elow0.5_cost40bps,False,hysteresis,daily,0.5,40.0,0.46856103907259294,0.07654220857103322,0.19123750730916458,0.4002468430384374,-0.34380942519094515,0.22262975637891005,0.25162190457765377,0.21693913449493918,0.10609682490736937,2021-08-25,2024-08-27,-0.2094992434935945,-0.1850421485653686,-0.024457094928225898,0.834855403348554,0.3302891933028919,33,6.6000000000000005,1313,1314
hysteresis_daily_elow0.7_cost40bps,False,hysteresis,daily,0.7,40.0,0.6011114848127417,0.0945459432748994,0.20358208616258192,0.4644118991854442,-0.37207187268377806,0.254106666523684,0.25162190457765377,0.3494895802350879,0.21144854156186543,2021-08-25,2024-02-07,-0.2814808012070372,-0.1850421485653686,-0.09643865264166862,0.9009132420091326,0.3302891933028919,33,3.9600000000000004,1313,1314
two_state_biweekly_elow0_cost40bps,False,two_state,biweekly,0.0,40.0,0.6495875511124529,0.10082980029452737,0.20200535545447965,0.49914419381444863,-0.3250981033018894,0.3101519180531663,0.25162190457765377,0.39796564653479916,0.22019855894035528,2023-06-16,2024-09-18,-0.12936972250431178,-0.1850421485653686,0.05567242606105682,0.8873668188736682,0.1126331811263318,24,9.6,1313,1314
two_state_biweekly_elow0.3_cost40bps,False,two_state,biweekly,0.3,40.0,0.7058883507436287,0.10794335421152557,0.20447066888097623,0.5279160810803633,-0.33715519140900985,0.32015925295534686,0.25162190457765377,0.4542664461659749,0.2683178562630312,2023-06-16,2024-09-18,-0.2116382800835478,-0.1850421485653686,-0.02659613151817919,0.9211567732115676,0.1126331811263318,24,6.72,1313,1314
two_state_biweekly_elow0.5_cost40bps,False,two_state,biweekly,0.5,40.0,0.7394688399186757,0.11209636031636161,0.2087541152322857,0.5369779665978287,-0.36530090242531177,0.3068603432735304,0.25162190457765377,0.48784693534102197,0.29910654249676544,2023-06-16,2024-02-07,-0.2627354591683756,-0.1850421485653686,-0.077693310603007,0.943683409436834,0.1126331811263318,24,4.8,1313,1314
two_state_biweekly_elow0.7_cost40bps,False,two_state,biweekly,0.7,40.0,0.7696131828392452,0.11576958472255261,0.21501134702236016,0.5384347678660565,-0.40235238429927533,0.2877318222537028,0.25162190457765377,0.5179912782615914,0.3272205111728595,2023-06-16,2024-02-07,-0.3109931186377153,-0.1850421485653686,-0.12595097007234668,0.9662100456621003,0.1126331811263318,24,2.8800000000000003,1313,1314
two_state_daily_elow0_cost40bps,False,two_state,daily,0.0,40.0,-0.0033197648290977932,-0.0006380084526634855,0.19984188795212263,-0.0031925661792003143,-0.4727216112007451,-0.0013496494290643928,0.25162190457765377,-0.25494166940675156,-0.2541499976368863,2021-08-25,2024-09-18,-0.11037885219328136,-0.1850421485653686,0.07466329637208724,0.8706240487062404,0.1293759512937595,89,35.6,1313,1314
two_state_daily_elow0.3_cost40bps,False,two_state,daily,0.3,40.0,0.2000405934647329,0.0356185704826284,0.20208050687956125,0.17625930888948557,-0.43503350093436965,0.0818754656966106,0.25162190457765377,-0.05158131111292086,-0.08522635165046107,2021-08-25,2024-09-18,-0.1995264374792982,-0.1850421485653686,-0.01448428891392961,0.9094368340943684,0.1293759512937595,89,24.92,1313,1314
two_state_daily_elow0.5_cost40bps,False,two_state,daily,0.5,40.0,0.3536430547571314,0.059837260034321105,0.2066670312616431,0.28953461841025996,-0.41754854108968253,0.1433061168844296,0.25162190457765377,0.10202115017947766,0.039516175870615,2021-11-26,2024-02-07,-0.25461209474325597,-0.1850421485653686,-0.06956994617788737,0.9353120243531202,0.1293759512937595,89,17.8,1313,1314
two_state_daily_elow0.7_cost40bps,False,two_state,daily,0.7,40.0,0.5228211898616661,0.08406478417231211,0.21355540161102252,0.3936439141231873,-0.4253360623959658,0.19764320875771912,0.25162190457765377,0.2711992852840124,0.1693436324215146,2021-11-26,2024-02-07,-0.30641990644688244,-0.1850421485653686,-0.12137775788151384,0.9611872146118722,0.1293759512937595,89,10.68,1313,1314
