sec_code,index_name,rolling_window,start_date,end_date,return_period_count,compound_annualized_return,max_drawdown,calmar_ratio,sharpe_ratio
399006.SZ,创业板指,756_return_periods,2021-11-05,2024-12-17,756,-0.13087013890189847,-0.5634268477509428,-0.2322752978923509,-0.44371160970573553
399006.SZ,创业板指,756_return_periods,2021-11-08,2024-12-18,756,-0.1331112003362812,-0.5634268477509428,-0.2362528531745113,-0.4513734180040676
399006.SZ,创业板指,756_return_periods,2021-11-09,2024-12-19,756,-0.1341413907685831,-0.5634268477509429,-0.23808129006283874,-0.45491300315636785
399006.SZ,创业板指,756_return_periods,2021-11-10,2024-12-20,756,-0.13377645612314648,-0.5634268477509428,-0.23743358460312675,-0.4536797551781748
399006.SZ,创业板指,756_return_periods,2021-11-11,2024-12-23,756,-0.1394475104904317,-0.5634268477509429,-0.24749887416098612,-0.4729278499005076
399006.SZ,创业板指,756_return_periods,2021-11-12,2024-12-24,756,-0.13584367877398607,-0.5634268477509428,-0.24110260154665972,-0.4605760104152665
399006.SZ,创业板指,756_return_periods,2021-11-15,2024-12-25,756,-0.13505848997766035,-0.5634268477509428,-0.23970900662043285,-0.45794464442851696
399006.SZ,创业板指,756_return_periods,2021-11-16,2024-12-26,756,-0.13324653561351596,-0.5634268477509428,-0.23649305343790836,-0.45178834636596726
399006.SZ,创业板指,756_return_periods,2021-11-17,2024-12-27,756,-0.13623064087989967,-0.5634268477509428,-0.2417894025172884,-0.4619680130754023
399006.SZ,创业板指,756_return_periods,2021-11-18,2024-12-30,756,-0.1328761807504769,-0.5634268477509428,-0.23583572788709833,-0.45068784139167584
399006.SZ,创业板指,756_return_periods,2021-11-19,2024-12-31,756,-0.14437951273278737,-0.5634268477509428,-0.256252454616094,-0.48903030724882723
399006.SZ,创业板指,756_return_periods,2021-11-22,2025-01-02,756,-0.16235347886937546,-0.5634268477509428,-0.28815360772645005,-0.5491435535567251
399006.SZ,创业板指,756_return_periods,2021-11-23,2025-01-03,756,-0.1673972316945339,-0.5631379929170699,-0.2972579257659597,-0.5657362664472583
399006.SZ,创业板指,756_return_periods,2021-11-24,2025-01-06,756,-0.1665183484355386,-0.5631379929170699,-0.29569723678732646,-0.5627788959960849
